1.000000000000000000e+02 0.000000000000000000e+00 8.911936014611955047e-08
2.000000000000000000e+02 0.000000000000000000e+00 9.123823517682874702e-08
3.000000000000000000e+02 0.000000000000000000e+00 9.378573691881779714e-08
4.000000000000000000e+02 0.000000000000000000e+00 9.664369024349498853e-08
5.000000000000000000e+02 0.000000000000000000e+00 9.974823515735200668e-08
6.000000000000000000e+02 1.000000000000000000e+00 4.386098351908301793e-11
7.000000000000000000e+02 1.000000000000000000e+00 4.712648691113966806e-11
8.000000000000000000e+02 1.000000000000000000e+00 5.075994300868513835e-11
9.000000000000000000e+02 1.000000000000000000e+00 1.748577698441560154e-10
1.000000000000000000e+03 1.000000000000000000e+00 5.858460285967862611e-11
1.100000000000000000e+03 1.000000000000000000e+00 1.343761636398905016e-10
1.200000000000000000e+03 1.000000000000000000e+00 3.984871170459963120e-08
1.215000000000000000e+03 3.300000000000000000e+01 1.482395210199082906e-08
